Tabel 1
Ploeg;Renner;Waarde;PCSNamen;
Alpecin - Deceuninck;VAN DER POEL M.;12;VAN DER POEL Mathieu;
Alpecin - Deceuninck;PHILIPSEN J.;10;PHILIPSEN Jasper;
Alpecin - Deceuninck;GROVES K.;6;GROVES Kaden;
Alpecin - Deceuninck;HERMANS Q.;5;HERMANS Quinten;
Alpecin - Deceuninck;VERMEERSCH G.;4;VERMEERSCH Gianni;
Alpecin - Deceuninck;BOVEN L.;3;BOVEN Lars;
Alpecin - Deceuninck;DEHAIRS S.;3;DEHAIRS Simon;
Alpecin - Deceuninck;DEL GROSSO T.;3;DEL GROSSO Tibor;
Alpecin - Deceuninck;DILLIER S.;3;DILLIER Silvan;
Alpecin - Deceuninck;KIELICH T.;3;KIELICH Timo;
Alpecin - Deceuninck;MEURISSE X.;3;MEURISSE Xandro;
Alpecin - Deceuninck;PLANCKAERT E.;3;PLANCKAERT Edward;
Alpecin - Deceuninck;PLOWRIGHT J.;3;PLOWRIGHT Jensen;
Alpecin - Deceuninck;RICKAERT J.;3;RICKAERT Jonas;
Alpecin - Deceuninck;RIESEBEEK O.;3;RIESEBEEK Oscar;
Alpecin - Deceuninck;UHLIG H.;3;UHLIG Henri;
Alpecin - Deceuninck;VAN TRICHT S.;3;VAN TRICHT Stan;
Alpecin - Deceuninck;VERSTRYNGE E.;3;VERSTRYNGE Emiel;
Alpecin - Deceuninck;BAYER T.;2;BAYER Tobias;
Alpecin - Deceuninck;DEBRUYNE R.;2;DEBRUYNE Ramses;
Alpecin - Deceuninck;GAZE S.;2;GAZE Samuel;
Alpecin - Deceuninck;GHYS R.;2;GHYS Robbe;
Alpecin - Deceuninck;GLIVAR G.;2;GLIVAR Gal;
Alpecin - Deceuninck;GOGL M.;2;GOGL Michael;
Alpecin - Deceuninck;HOLLMANN J.;2;HOLLMANN Juri;
Alpecin - Deceuninck;JANSSENS J.;2;JANSSENS Jimmy;
Alpecin - Deceuninck;PRICE-PEJTERSEN J.;2;PRICE-PEJTERSEN Johan;
Alpecin - Deceuninck;VAN DEN BOSSCHE F.;2;VAN DEN BOSSCHE Fabio;
Alpecin - Deceuninck;VERGALLITO L.;2;VERGALLITO Luca;
Arkéa - B&B Hotels;MOZZATO L.;6;MOZZATO Luca;
Arkéa - B&B Hotels;DEMARE A.;5;DÉMARE Arnaud;
Arkéa - B&B Hotels;VAUQUELIN K.;5;VAUQUELIN Kévin;
Arkéa - B&B Hotels;SENECHAL F.;4;SÉNÉCHAL Florian;
Arkéa - B&B Hotels;BIERMANS J.;3;BIERMANS Jenthe;
Arkéa - B&B Hotels;CAPIOT A.;3;CAPIOT Amaury;
Arkéa - B&B Hotels;COSTIOU E.;3;COSTIOU Ewen;
Arkéa - B&B Hotels;LE BERRE M.;3;LE BERRE Mathis;
Arkéa - B&B Hotels;VENTURINI C.;3;VENTURINI Clément;
Arkéa - B&B Hotels;DELAPLACE A.;2;DELAPLACE Anthony;
Arkéa - B&B Hotels;EPIS G.;2;EPIS Giosuè;
Arkéa - B&B Hotels;GARCIA PIERNA R.;2;GARCÍA PIERNA Raúl;
Arkéa - B&B Hotels;GESBERT E.;2;GESBERT Élie;
Arkéa - B&B Hotels;GRONDIN D.;2;GRONDIN Donavan;
Arkéa - B&B Hotels;GUERNALEC T.;2;GUERNALEC Thibault;
Arkéa - B&B Hotels;GUERNALEC V.;2;GUERNALEC Thibault;
Arkéa - B&B Hotels;GUGLIELMI S.;2;GUGLIELMI Simon;
Arkéa - B&B Hotels;HUYS L.;2;HUYS Laurens;
Arkéa - B&B Hotels;LOZOUET L.;2;LOZOUET Léandre;
Arkéa - B&B Hotels;RIES M.;2;RIESEBEEK Oscar;
Arkéa - B&B Hotels;RODRIGUEZ C.;2;RODRÍGUEZ Cristián;
Arkéa - B&B Hotels;ROULAND L.;2;ROULAND Louis;
Arkéa - B&B Hotels;SCOTSON M.;2;SCOTSON Miles;
Arkéa - B&B Hotels;SVESTAD-BARDSENG E.;2;SVESTAD-BÅRDSENG Embret;
Arkéa - B&B Hotels;THIERRY P.;2;THIERRY Pierre;
Arkéa - B&B Hotels;TJOTTA M.;2;TJØTTA Martin;
Arkéa - B&B Hotels;VERRE A.;2;VERRE Alessandro;
Bahrain - Victorious;MOHORIC M.;7;MOHORIČ Matej;
Bahrain - Victorious;BAUHAUS P.;5;BAUHAUS Phil;
Bahrain - Victorious;BILBAO P.;5;BILBAO Pello;
Bahrain - Victorious;BUITRAGO S.;5;BUITRAGO Santiago;
Bahrain - Victorious;TIBERI A.;5;TIBERI Antonio;
Bahrain - Victorious;HAIG J.;4;HAIG Jack;
Bahrain - Victorious;MARTINEZ L.;4;MARTINEZ Lenny;
Bahrain - Victorious;WRIGHT F.;4;PLOWRIGHT Jensen;
Bahrain - Victorious;ARNDT N.;3;ARNDT Nikias;
Bahrain - Victorious;CARUSO D.;3;CARUSO Damiano;
Bahrain - Victorious;GOVEKAR M.;3;GOVEKAR Matevž;
Bahrain - Victorious;PASQUALON A.;3;PASQUALON Andrea;
Bahrain - Victorious;STANNARD R.;3;STANNARD Robert;
Bahrain - Victorious;TRAEEN T.;3;TRÆEN Torstein;
Bahrain - Victorious;VAN MECHELEN V.;3;VAN MECHELEN Vlad;
Bahrain - Victorious;BRUTTOMESSO A.;2;BRUTTOMESSO Alberto;
Bahrain - Victorious;BURATTI N.;2;BURATTI Nicolò;
Bahrain - Victorious;ERMAKOV R.;2;ERMAKOV Roman;
Bahrain - Victorious;ERZEN Z.;2;PRICE-PEJTERSEN Johan;
Bahrain - Victorious;EULALIO A.;2;EULÁLIO Afonso;
Bahrain - Victorious;GRADEK K.;2;GRADEK Kamil;
Bahrain - Victorious;KEPPLINGER R.;2;KEPPLINGER Rainer;
Bahrain - Victorious;MIHOLJEVIC F.;2;MIHOLJEVIĆ Fran;
Bahrain - Victorious;PAASSCHENS M.;2;PAASSCHENS Mathijs;
Bahrain - Victorious;PICKERING F.;2;PICKERING Finlay;
Bahrain - Victorious;SKERL D.;2;SKERL Daniel;
Bahrain - Victorious;STOCKWELL O.;2;STOCKWELL Oliver;
Bahrain - Victorious;TU S.;2;VENTURINI Clément;
Bahrain - Victorious;VAN DER MEULEN M.;2;VAN DER MEULEN Max;
Bahrain - Victorious;ZAMBANINI E.;2;ZAMBANINI Edoardo;
Burgos - Burpellet - BH;ALLENO C.;2;ALLENO Clément;
Burgos - Burpellet - BH;ALVAREZ R.;2;ÁLVAREZ Rodrigo;
Burgos - Burpellet - BH;ANGULO A.;2;ANGULO Antonio;
Burgos - Burpellet - BH;APARICIO M.;2;APARICIO Mario;
Burgos - Burpellet - BH;BOUGLAS G.;2;BOUGLAS Georgios;
Burgos - Burpellet - BH;BURNETT J.;2;BURNETT Josh;
Burgos - Burpellet - BH;CAVIA D.;2;CAVIA Daniel;
Burgos - Burpellet - BH;CHUMIL S.;2;CHUMIL Sergio Geovani;
Burgos - Burpellet - BH;DE LA CALLE H.;2;DE LA CALLE Hugo;
Burgos - Burpellet - BH;DELGADO D.;2;DELGADO David;
Burgos - Burpellet - BH;DIAZ J.;2;DIAZ Alex;
Burgos - Burpellet - BH;FAGUNDEZ E.;2;FAGÚNDEZ Eric Antonio;
Burgos - Burpellet - BH;FAURA J.;2;FAURA José Luis;
Burgos - Burpellet - BH;FERNANDEZ S.;2;FERNÁNDEZ Sinuhé;
Burgos - Burpellet - BH;FUENTES A.;2;FUENTES Ángel;
Burgos - Burpellet - BH;GARCIA PIERNA C.;2;GARCÍA PIERNA Raúl;
Burgos - Burpellet - BH;JACKSON G.;2;JACKSON George;
Burgos - Burpellet - BH;KMINEK V.;2;KMÍNEK Vojtěch;
Burgos - Burpellet - BH;KOYAMA T.;2;KOYAMA Tomoya;
Burgos - Burpellet - BH;KUDUS M.;2;KUDUS Merhawi;
Burgos - Burpellet - BH;MARTIN D.;2;TJØTTA Martin;
Burgos - Burpellet - BH;OKAMIKA A.;2;OKAMIKA Ander;
Burgos - Burpellet - BH;SAINBAYAR J.;2;SAINBAYAR Jambaljamts;
Caja Rural - Seguros RGA;BARCELO F.;3;BARCELÓ Fernando;
Caja Rural - Seguros RGA;LEITAO I.;3;LEITÃO Iúri;
Caja Rural - Seguros RGA;ARRIOLA-BENGOA J.;2;ARRIOLA-BENGOA Julen;
Caja Rural - Seguros RGA;BABOR D.;2;BABOR Daniel;
Caja Rural - Seguros RGA;BALDERSTONE A.;2;BALDERSTONE Abel;
Caja Rural - Seguros RGA;BERWICK S.;2;BERWICK Sebastian;
Caja Rural - Seguros RGA;BOU J.;2;BOUGLAS Georgios;
Caja Rural - Seguros RGA;CASTELLON J.;2;CASTELLON Jan;
Caja Rural - Seguros RGA;DARDER S.;2;DARDER Sergi;
Caja Rural - Seguros RGA;DIAZ A.;2;DIAZ Alex;
Caja Rural - Seguros RGA;FERNANDEZ S.;2;FERNÁNDEZ Sinuhé;
Caja Rural - Seguros RGA;GONZALEZ A.;2;GONZÁLEZ Abner;
Caja Rural - Seguros RGA;GUARDENO J.;2;GUARDEÑO Jaume;
Caja Rural - Seguros RGA;IBANEZ J.;2;IBAÑEZ Javier;
Caja Rural - Seguros RGA;JOHNSTON C.;2;JOHNSTON Calum;
Caja Rural - Seguros RGA;LOPEZ J.;2;LÓPEZ Joseba;
Caja Rural - Seguros RGA;MOLENAAR A.;2;MOLENAAR Alex;
Caja Rural - Seguros RGA;NICOLAU J.;2;NICOLAU Joel;
Caja Rural - Seguros RGA;OTRUBA J.;2;OTRUBA Jakub;
Caja Rural - Seguros RGA;PENUELA F.;2;PEÑUELA Francisco Joel;
Caja Rural - Seguros RGA;PRADES E.;2;PRADES Eduard;
Caja Rural - Seguros RGA;SILVA G.;2;DILLIER Silvan;
Caja Rural - Seguros RGA;SORARRAIN G.;2;SORARRAIN Gorka;
Caja Rural - Seguros RGA;STITES T.;2;STITES Tyler;
Cofidis;TEUNS D.;6;VAN SINTMAARTENSDIJK Roel;
Cofidis;COQUARD B.;5;QUARTUCCI Lorenzo;
Cofidis;ARANBURU A.;4;ARMIRAIL Bruno;
Cofidis;ALLEGAERT P.;3;SEGAERT Alec;
Cofidis;ANIOLKOWSKI S.;3;KWIATKOWSKI Michał;
Cofidis;BUCHMANN E.;3;SCHACHMANN Maximilian;
Cofidis;CARR S.;3;CARRASCOSA Pablo;
Cofidis;FERRON V.;3;CEPEDA Jefferson Alexander;
Cofidis;FRETIN M.;3;FORTIN Filippo;
Cofidis;HERRADA J.;3;BERRADE Urko;
Cofidis;IZAGIRRE I.;3;AGIRRE Jon;
Cofidis;RENARD A.;3;RENARD-HAQUIN Henri-François;
Cofidis;ROBEET L.;3;STANNARD Robert;
Cofidis;DE GENDT A.;2;DE LA CALLE Hugo;
Cofidis;DEBEAUMARCHE N.;2;BURGAUDEAU Mathieu;
Cofidis;FINE E.;2;HERMANS Quinten;
Cofidis;IZQUIERDO C.;2;AFFINI Edoardo;
Cofidis;KNIGHT O.;2;PLOWRIGHT Jensen;
Cofidis;LASTRA J.;2;MACKELLAR Alastair;
Cofidis;MAAS J.;2;SILVA Guillermo Thomas;
Cofidis;MAHOUDO N.;2;SAMUDIO Carlos;
Cofidis;MAISONOBE S.;2;DONALDSON Robert;
Cofidis;MONIQUET S.;2;PETILLI Simone;
Cofidis;OLDANI S.;2;SKERL Daniel;
Cofidis;OURSELIN P.;2;TRÆEN Torstein;
Cofidis;PEREZ A.;2;PEDRERO Antonio;
Cofidis;SAMITIER S.;2;DE TIER Floris;
Cofidis;THOMAS B.;2;SILVA Guillermo Thomas;
Cofidis;TOUMIRE H.;2;PUCCIO Salvatore;
Cofidis;TOUZE D.;2;LE HUITOUZE Eddy;
Decathlon - AG2R;COSNEFROY B.;7;COSNEFROY Benoît;
Decathlon - AG2R;BENNETT S.;5;BENNETT Sam;
Decathlon - AG2R;NAESEN O.;5;NAESEN Oliver;
Decathlon - AG2R;GALL F.;4;GALL Felix;
Decathlon - AG2R;GAUTHERAT P.;4;GAUTHERAT Pierre;
Decathlon - AG2R;GODON D.;4;GODON Dorian;
Decathlon - AG2R;LAFAY V.;4;LAFAY Victor;
Decathlon - AG2R;LAPEIRA P.;4;LAPEIRA Paul;
Decathlon - AG2R;PARET-PEINTRE A.;4;PARET-PEINTRE Aurélien;
Decathlon - AG2R;ARMIRAIL B.;3;ARMIRAIL Bruno;
Decathlon - AG2R;BISSEGGER S.;3;BISSEGGER Stefan;
Decathlon - AG2R;DE BONDT D.;3;DE BONDT Dries;
Decathlon - AG2R;DE PESTEL S.;3;DE PESTEL Sander;
Decathlon - AG2R;DEWULF S.;3;DEWULF Stan;
Decathlon - AG2R;GUDMESTAD T.;3;GUDMESTAD Tord;
Decathlon - AG2R;TRONCHON B.;3;TRONCHON Bastien;
Decathlon - AG2R;VENDRAME A.;3;VENDRAME Andrea;
Decathlon - AG2R;BERTHET C.;2;BERTHET Clément;
Decathlon - AG2R;BISIAUX L.;2;BISIAUX Léo;
Decathlon - AG2R;BOUCHARD G.;2;BOUCHARD Geoffrey;
Decathlon - AG2R;CHAMBERLAIN O.;2;CHAMBERLAIN Oscar;
Decathlon - AG2R;ISIDORE N.;2;ISIDORE Noa;
Decathlon - AG2R;LABROSSE J.;2;LABROSSE Jordan;
Decathlon - AG2R;PEDERSEN R.;2;PEDERSEN Rasmus Søjberg;
Decathlon - AG2R;PETERS N.;2;PETERS Nans;
Decathlon - AG2R;POLLEFLIET G.;2;POLLEFLIET Gianluca;
Decathlon - AG2R;PRODHOMME N.;2;PRODHOMME Nicolas;
Decathlon - AG2R;SCOTSON C.;2;SCOTSON Miles;
Decathlon - AG2R;SEIXAS P.;2;SEIXAS Paul;
Decathlon - AG2R;STAUNE-MITTET J.;2;STAUNE-MITTET Johannes;
EF Education - EasyPost;HEALY B.;6;HEALY Ben;
EF Education - EasyPost;POWLESS N.;6;POWLESS Neilson;
EF Education - EasyPost;ASGREEN K.;5;ASGREEN Kasper;
EF Education - EasyPost;CARAPAZ R.;5;CARAPAZ Richard;
EF Education - EasyPost;VAN DEN BERG M.;5;VAN DEN BERG Lars;
EF Education - EasyPost;ALBANESE V.;4;ALBANESE Vincenzo;
EF Education - EasyPost;MIHKELS M.;4;MIHKELS Madis;
EF Education - EasyPost;VALGREN M.;4;VALGREN Michael;
EF Education - EasyPost;BATTISTELLA S.;3;BATTISTELLA Samuele;
EF Education - EasyPost;CARTHY H.;3;CARTHY Hugh;
EF Education - EasyPost;CHAVES E.;3;CHAVES Esteban;
EF Education - EasyPost;COSTA R.;3;COSTA Rui;
EF Education - EasyPost;DOULL O.;3;DOULL Owain;
EF Education - EasyPost;HONORE M.;3;HONORÉ Mikkel Frølich;
EF Education - EasyPost;BAUDIN A.;2;BAUDIN Alex;
EF Education - EasyPost;BELOKI M.;2;BELOKI Markel;
EF Education - EasyPost;CEPEDA J.;2;CEPEDA Jefferson Alexander;
EF Education - EasyPost;MACKELLAR A.;2;MACKELLAR Alastair;
EF Education - EasyPost;NERURKAR L.;2;NERURKAR Lukas;
EF Education - EasyPost;QUINN S.;2;QUINN Sean;
EF Education - EasyPost;RAFFERTY D.;2;RAFFERTY Darren;
EF Education - EasyPost;ROOTKIN-GRAY J.;2;ROOTKIN-GRAY Jack;
